brand,modelYear,model,itemType,partNo,dateCode,price,stock,active
Jaguar,2022,I-Pace,取扱説明書,JJM 56 02 42 221,,1350,2,true
Jaguar,2022,全車共通,車検証入れ,TSH 400,,1350,597,true
Jaguar,2021,F-TYPE,取扱説明書,JJM 56 02 35 211,,1350,2,true
Jaguar,2021,XF,取扱説明書,JJM 56 02 37 211,,1350,2,true
Jaguar,2021,F-Pace,取扱説明書,JJM 56 02 38 211,,1350,0,true
Jaguar,2021,I-Pace,取扱説明書,JJM 56 02 42 211,,1350,4,true
Jaguar,2020,F-TYPE,取扱説明書,JJM 56 02 35 201,,1350,1,true
Jaguar,2020,XF,取扱説明書,JJM 56 02 37 201,,1350,2,true
Jaguar,2020,I-Pace,取扱説明書,JJM 56 02 42 201,,1350,2,true
Jaguar,2019,F-TYPE,取扱説明書,JJM 56 02 35 191,X152,1350,7,true
Jaguar,2019,XE,取扱説明書,JJM 56 02 36 191,X760,1350,1,true
Jaguar,2019,XF,取扱説明書,JJM 56 02 37 191,X260,1350,1,true
Jaguar,2019,XJ,取扱説明書,JJM 56 02 34 191,X351,1350,1,true
Jaguar,2019,F-Pace,取扱説明書,JJM 56 02 38 191,X761,1350,1,true
Jaguar,2019,E-Pace,取扱説明書,JJM 56 02 41 191,X540,1350,2,true
Jaguar,2019,I-Pace,取扱説明書,JJM 56 02 42 192,X590,1350,7,true
Jaguar,2018,全車共通,整備記録簿,JJM WMM 2018 03,,1350,24,true
Jaguar,2018,XE,取扱説明書,JJM 56 02 36 181,,1350,1,true
Jaguar,2018,F-Pace,取扱説明書,JJM 56 02 38 181,,1350,1,true
Jaguar,2017,F-TYPE,取扱説明書,JJM 56 02 35 171,X152,1350,1,true
Jaguar,2017,XE,取扱説明書,JJM 56 02 36 171,,1350,0,true
Jaguar,2017,XE,クイックガイド,JJM 56 96 36 171,,1350,127,true
Jaguar,2017,XF,取扱説明書,JJM 56 02 37 171,,1350,58,true
Jaguar,2017,全車共通,ETC2.0車載器取扱説明書,JJM ETC 2017 08,,1350,24,true
Jaguar,2017,全車共通,保証書/整備記録簿統一本,JJM WMM 2017 02,,1350,36,true
Jaguar,2016,F-TYPE,取扱説明書,JJM 56 02 35 161 MR01,OH507-F,1350,43,true
Jaguar,2016,F-TYPE,クイックガイド,JJM 56 96 35 161 MR01,,1350,37,true
Jaguar,2016,F-TYPE,ナビ取扱説明書,JJM 152 2016 07,,1350,29,true
Jaguar,2016,XE,取扱説明書,JJM 56 02 36 161 MR02,OH602-XE,1350,25,true
